"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_732",14,9,7,8,8,8
"Gene_733",319,354,225,256,450,404
"Gene_734",51,112,79,137,146,193
"Gene_735",4,1,9,9,8,11
"Gene_736",5,2,1,4,4,9
"Gene_737",131,141,169,119,163,147
"Gene_738",54,49,30,46,65,61
"Gene_739",0,0,1,0,0,0
"Gene_740",5,2,5,2,3,8
"Gene_741",2308,2094,1411,2013,2037,1450
"Gene_742",3,3,0,0,6,3
"Gene_743",24,21,14,15,21,25
"Gene_744",15,5,20,1,5,5
"Gene_745",6,9,8,8,3,9
"Gene_746",2,4,9,0,4,1
"Gene_747",0,1,4,2,0,1
"Gene_748",35,31,32,24,37,59
"Gene_749",34,34,56,32,32,40
"Gene_750",0,1,2,0,1,2
"Gene_751",155,65,146,67,139,225
"Gene_752",30,30,122,15,35,60
"Gene_753",0,0,0,0,0,1
"Gene_754",3,0,0,1,3,2
"Gene_755",30,22,65,24,42,36
"Gene_756",0,1,0,1,1,0
"Gene_757",2,1,2,1,0,0
"Gene_758",2,3,10,1,10,10
"Gene_759",2,2,3,5,2,0
"Gene_760",1,1,5,0,1,5
"Gene_761",3,2,7,1,8,9
"Gene_762",3,3,4,3,5,6
"Gene_763",97,109,113,121,84,119
"Gene_764",3,3,8,1,3,5
"Gene_765",49,50,65,57,34,33
"Gene_766",23,28,45,38,15,16
"Gene_767",0,0,1,0,0,1
"Gene_768",59,51,54,25,62,53
"Gene_769",1758,1115,1075,1386,2233,1637
"Gene_770",9,4,7,1,5,4
"Gene_771",166,123,95,143,172,127
"Gene_772",0,1,0,1,0,0
"Gene_773",36,27,32,30,37,37
"Gene_774",2,0,0,0,0,0
"Gene_775",24,11,24,37,28,41
"Gene_776",1,1,4,0,0,2
"Gene_777",15,17,19,8,16,19
"Gene_778",1,6,6,10,4,5
"Gene_779",201,197,159,161,200,180
"Gene_780",4184,4984,4540,2888,8517,8215
"Gene_781",55,38,26,28,104,112
"Gene_782",17,9,8,20,17,19
"Gene_783",6,4,5,10,4,3
"Gene_784",8,6,20,6,13,18
"Gene_785",57,28,43,30,61,159
"Gene_786",1,1,1,0,1,0
"Gene_787",84,54,53,72,98,116
"Gene_788",169,195,285,50,513,240
"Gene_789",4,6,11,1,4,7
"Gene_790",38,17,23,10,24,13
"Gene_791",55,62,57,72,85,60
"Gene_792",893,1581,594,532,1307,2170
"Gene_793",29,29,62,38,46,38
"Gene_794",2270,2136,1822,1727,2919,2553
"Gene_795",4,9,10,2,10,8
"Gene_796",71,69,75,109,101,61
"Gene_797",14,25,35,18,34,28
"Gene_798",0,0,1,0,0,0
"Gene_799",9,18,11,27,21,34
"Gene_800",640,1657,433,1881,919,913
"Gene_801",0,2,1,1,2,3
"Gene_802",61,49,64,53,39,32
"Gene_803",5,10,10,5,5,8
"Gene_804",887,909,1412,869,942,1169
"Gene_805",157,208,154,184,265,303
"Gene_806",10,33,50,39,19,17
"Gene_807",33,41,38,49,43,44
"Gene_808",4,4,4,6,1,3
"Gene_809",66,95,85,78,104,90
"Gene_810",26,21,38,19,24,25
"Gene_811",2,2,5,4,2,2
"Gene_812",0,3,1,1,0,0
"Gene_813",5,7,9,8,7,7
"Gene_814",99,88,38,39,165,78
"Gene_815",30,14,26,12,33,22
"Gene_816",0,0,0,0,1,0
"Gene_817",98,93,10,30,39,50
"Gene_818",2,0,0,2,1,0
"Gene_819",32,18,10,38,28,30
"Gene_820",217,258,181,361,326,278
"Gene_821",67,74,103,47,69,62
"Gene_822",946,1158,1114,1713,1168,1756
"Gene_823",2,2,4,1,3,2
"Gene_824",4,3,2,0,5,5
"Gene_825",1,3,0,2,0,0
"Gene_826",1,0,0,1,0,0
"Gene_827",120,165,282,393,116,416
"Gene_828",0,3,14,1,1,0
"Gene_829",1,2,1,3,2,7
"Gene_830",641,676,514,384,661,605
"Gene_831",57,62,42,19,66,42
"Gene_832",431,588,356,397,860,591
"Gene_833",19,18,22,21,25,18
"Gene_834",69,68,39,33,55,56
"Gene_835",0,0,2,0,0,3
"Gene_836",498,486,1754,541,502,569
"Gene_837",341,74,162,197,408,326
"Gene_838",1131,1224,1893,1563,2881,1979
"Gene_839",13,11,8,13,7,19
"Gene_840",39,34,25,33,40,36
"Gene_841",116,128,110,123,212,121
"Gene_842",24,19,38,21,24,22
"Gene_843",317,249,310,235,358,403
"Gene_844",187,86,103,66,269,51
"Gene_845",110,90,475,132,121,148
"Gene_846",0,0,2,0,1,0
"Gene_847",15,22,23,19,5,13
"Gene_848",37,42,12,21,53,26
"Gene_849",69,89,87,86,80,68
"Gene_850",23,25,23,34,27,43
"Gene_851",33,32,19,13,44,26
"Gene_852",33,37,29,19,39,34
"Gene_853",88,81,103,100,94,116
"Gene_854",27,17,50,23,41,18
"Gene_855",617,448,595,515,651,712
"Gene_856",94,68,62,61,83,134
"Gene_857",10,12,15,16,11,9
"Gene_858",0,0,1,2,0,1
"Gene_859",51,53,47,36,68,46
"Gene_860",0,0,0,1,1,0
"Gene_861",3,4,3,4,3,2
"Gene_862",36,24,36,18,48,49
"Gene_863",59,61,45,52,32,192
"Gene_864",3,6,4,1,7,6
"Gene_865",1,0,5,0,0,0
"Gene_866",84,79,63,84,103,79
"Gene_867",51,54,38,44,97,68
"Gene_868",212,113,145,114,177,197
"Gene_869",3,1,2,0,3,1
"Gene_870",4,3,1,4,3,5
"Gene_871",13,19,9,44,28,11
"Gene_872",37,29,53,38,46,49
"Gene_873",23,17,6,19,40,13
"Gene_874",4,12,6,10,3,8
"Gene_875",1,1,4,0,1,2
"Gene_876",134,98,75,90,134,98
"Gene_877",2,2,1,1,1,0
"Gene_878",28,36,29,16,38,26
"Gene_879",61,91,61,125,95,65
"Gene_880",492,485,150,412,640,436
"Gene_881",124,230,31,193,191,135
"Gene_882",0,0,0,1,1,0
"Gene_883",1,3,6,1,1,2
"Gene_884",3,1,0,3,4,0
"Gene_885",1,0,2,2,2,0
"Gene_886",9,7,6,18,9,16
"Gene_887",85,52,61,47,154,113
"Gene_888",17,22,8,4,13,17
"Gene_889",15,16,12,10,9,14
"Gene_890",3,2,9,2,2,3
"Gene_891",0,5,3,4,3,2
"Gene_892",65,66,68,72,82,77
"Gene_893",4,13,3,9,40,3
"Gene_894",57,57,97,67,67,85
"Gene_895",20,21,5,4,19,9
"Gene_896",292,228,227,194,361,328
"Gene_897",29,72,20,71,71,67
"Gene_898",125,136,168,158,181,195
"Gene_899",0,0,0,4,0,2
"Gene_900",47,32,26,57,62,68
"Gene_901",1,1,2,0,1,1
"Gene_902",71,252,74,87,93,125
"Gene_903",388,386,407,400,620,542
"Gene_904",17,27,49,39,59,22
"Gene_905",16,11,44,29,14,16
"Gene_906",15,3,13,1,13,7
"Gene_907",0,0,6,2,2,1
"Gene_908",9,10,10,5,5,10
"Gene_909",13,20,20,16,22,11
"Gene_910",162,367,298,178,458,339
"Gene_911",0,0,0,0,0,1
"Gene_912",85,51,81,67,99,76
"Gene_913",40,41,40,31,30,43
"Gene_914",43,40,41,20,49,43
"Gene_915",0,0,1,0,0,0
"Gene_916",42,65,33,67,70,54
"Gene_917",0,0,1,0,1,1
"Gene_918",0,0,3,2,1,6
"Gene_919",1628,1455,754,1249,1963,1465
"Gene_920",71,52,119,96,63,88
"Gene_921",0,4,0,2,0,0
"Gene_922",19,22,16,19,41,21
"Gene_923",796,697,675,723,1093,978
"Gene_924",5,5,2,7,9,9
"Gene_925",297,261,454,368,330,383
"Gene_926",23,26,33,31,34,42
"Gene_927",45,42,36,32,45,40
"Gene_928",49,51,51,51,77,75
"Gene_929",128,154,152,138,155,132
"Gene_930",17,12,25,30,12,19
"Gene_931",37,43,95,28,49,53
"Gene_932",517,620,777,545,785,1459
"Gene_933",276,274,251,193,290,261
"Gene_934",36,53,71,66,65,47
"Gene_935",5,11,24,3,9,4
"Gene_936",156,86,232,206,276,175
"Gene_937",6,20,48,100,8,25
"Gene_938",48,47,60,47,66,51
"Gene_939",68,46,206,49,23,75
"Gene_940",172,209,541,318,186,213
"Gene_941",158,136,165,129,200,199
"Gene_942",11,11,40,44,26,28
"Gene_943",58,37,54,38,61,70
"Gene_944",344,317,248,149,487,298
"Gene_945",80,61,33,87,104,66
"Gene_946",15,9,3,14,13,15
"Gene_947",6,10,13,11,10,12
"Gene_948",303,300,314,354,355,438
"Gene_949",152,155,139,170,213,229
"Gene_950",13,33,11,67,37,25
"Gene_951",281,189,204,184,342,393
"Gene_952",162,145,141,147,162,138
"Gene_953",184,145,172,98,135,127
"Gene_954",11,16,16,13,10,23
"Gene_955",756,635,452,403,743,867
"Gene_956",435,383,368,282,566,378
"Gene_957",1,0,0,0,0,0
"Gene_958",6,7,21,11,18,14
"Gene_959",16,14,11,9,14,7
"Gene_960",39,53,45,52,47,37
"Gene_961",9,2,7,3,8,2
"Gene_962",101,77,66,69,96,85
"Gene_963",152,177,137,150,184,175
"Gene_964",740,756,385,340,1125,1091
"Gene_965",7,9,3,13,9,5
"Gene_966",11,9,12,6,10,8
"Gene_967",0,0,0,0,1,1
"Gene_968",23,30,19,26,22,13
"Gene_969",79,64,64,59,97,57
"Gene_970",25627,22863,16632,18061,31723,20491
"Gene_971",76,93,169,84,126,112
"Gene_972",85,66,32,30,94,87
"Gene_973",155,158,183,132,217,241
"Gene_974",1,1,2,6,1,2
"Gene_975",0,2,1,0,3,0
"Gene_976",0,0,0,0,1,1
"Gene_977",13,8,19,1,11,7
"Gene_978",79,56,71,36,88,82
"Gene_979",1,1,8,1,0,6
"Gene_980",0,0,2,0,2,0
"Gene_981",52,58,37,21,71,56
"Gene_982",46,30,43,34,41,29
"Gene_983",55,37,46,38,58,54
"Gene_984",2,3,3,8,5,1
"Gene_985",0,1,3,0,0,0
"Gene_986",1,7,0,5,3,1
"Gene_987",31,17,31,10,44,25
"Gene_988",2,5,17,5,4,5
"Gene_989",43,32,51,55,89,61
"Gene_990",17,21,15,16,9,12
"Gene_991",6,8,4,0,1,3
"Gene_992",244,239,104,148,290,176
"Gene_993",0,0,2,1,1,0
"Gene_994",0,3,2,0,4,0
"Gene_995",62,56,69,76,70,84
"Gene_996",3,4,2,2,2,3
"Gene_997",2,0,6,6,2,6
"Gene_998",101,106,149,128,117,130
"Gene_999",0,0,0,0,0,4
"Gene_1000",313,374,225,314,261,385
"Gene_1001",4,5,11,5,12,2
"Gene_1002",48,46,30,32,27,28
"Gene_1003",96,196,28,37,140,49
"Gene_1004",50,113,161,73,52,67
"Gene_1005",653,449,793,362,736,765
"Gene_1006",75,54,40,64,94,60
"Gene_1007",7,6,8,19,12,28
"Gene_1008",54,69,103,75,71,127
"Gene_1009",51,40,31,32,64,56
"Gene_1010",0,0,0,0,1,0
"Gene_1011",3,1,3,2,0,0
"Gene_1012",1,0,1,0,0,0
"Gene_1013",123,99,121,87,157,130
"Gene_1014",119,78,143,101,153,132
"Gene_1015",2,3,1,0,0,0
"Gene_1016",35,37,40,22,39,34
"Gene_1017",69,63,76,35,79,65
"Gene_1018",77,46,44,33,78,105
"Gene_1019",499,543,425,453,522,456
"Gene_1020",188,135,81,187,225,118
"Gene_1021",5,0,5,3,4,0
"Gene_1022",3,3,0,3,3,6
"Gene_1023",19,15,13,18,7,17
"Gene_1024",4,8,4,8,5,10
"Gene_1025",1,0,1,0,0,0
"Gene_1026",116,256,33,85,230,46
"Gene_1027",0,1,2,0,1,0
"Gene_1028",0,0,1,0,1,0
"Gene_1029",114,140,127,74,107,67
"Gene_1030",183,166,161,123,264,220
"Gene_1031",0,0,3,3,2,0
"Gene_1032",2,6,100,6,71,3
"Gene_1033",1,1,2,23,6,11
"Gene_1034",0,4,8,3,0,0
"Gene_1035",174,70,208,98,70,140
"Gene_1036",28,25,29,36,27,13
"Gene_1037",67,93,47,16,92,86
"Gene_1038",172,148,178,141,215,142
"Gene_1039",76,82,236,66,64,116
"Gene_1040",14,20,15,8,9,6
"Gene_1041",4,9,8,15,8,12
"Gene_1042",5,5,6,2,7,9
"Gene_1043",69,71,108,75,58,68
"Gene_1044",20,31,18,10,13,16
"Gene_1045",56,119,127,63,96,37
"Gene_1046",116,124,157,54,141,187
"Gene_1047",12,12,3,7,10,4
"Gene_1048",0,1,1,0,0,0
"Gene_1049",2,3,1,0,1,5
"Gene_1050",162,146,110,168,178,114
"Gene_1051",7,4,7,5,10,2
"Gene_1052",247,193,199,166,389,296
"Gene_1053",164,108,116,101,140,153
"Gene_1054",168,144,168,125,184,197
"Gene_1055",419,453,555,535,470,675
"Gene_1056",25,22,35,26,61,34
"Gene_1057",183,199,181,164,230,245
"Gene_1058",47,46,42,51,56,67
"Gene_1059",73,42,51,32,80,93
"Gene_1060",408,500,444,345,509,481
"Gene_1061",41,43,61,62,75,68
"Gene_1062",7,12,9,23,13,45
"Gene_1063",173,174,186,142,317,330
"Gene_1064",486,500,794,538,694,709
"Gene_1065",0,11,5,7,3,3
"Gene_1066",0,0,0,8,0,7
"Gene_1067",1168,1751,655,817,1573,1121
"Gene_1068",487,635,496,300,536,643
"Gene_1069",117,88,165,104,159,154
"Gene_1070",384,329,496,297,521,508
"Gene_1071",129,86,121,89,170,157
"Gene_1072",254,220,258,151,280,328
"Gene_1073",299,444,341,286,526,401
"Gene_1074",3,5,5,1,3,0
"Gene_1075",49,41,34,59,64,63
"Gene_1076",547,571,474,441,720,731
"Gene_1077",36,33,34,33,47,33
"Gene_1078",1,0,3,0,0,2
"Gene_1079",731,668,436,1103,1029,1110
"Gene_1080",3,4,6,3,9,12
"Gene_1081",73,81,86,122,101,130
"Gene_1082",1306,1671,4934,2609,1252,3308
"Gene_1083",58,60,176,60,69,68
"Gene_1084",1,0,4,0,1,2
"Gene_1085",9,2,5,1,4,4
"Gene_1086",223,217,396,184,365,284
"Gene_1087",4243,3679,2410,3439,6175,3779
"Gene_1088",25,27,13,61,28,23
"Gene_1089",107,120,102,86,137,89
"Gene_1090",0,0,1,0,0,0
"Gene_1091",4,6,9,3,0,0
"Gene_1092",4,31,59,34,19,44
"Gene_1093",4,6,4,1,11,5
"Gene_1094",3,1,4,1,3,4
"Gene_1095",81,59,75,47,90,71
"Gene_1096",13,12,12,7,6,7
"Gene_1097",0,0,0,0,1,1
"Gene_1098",2,6,1,2,13,6
"Gene_1099",6,4,4,4,7,3
"Gene_1100",71,63,44,46,78,51
"Gene_1101",2,7,0,3,3,0
"Gene_1102",1,6,1,2,7,5
"Gene_1103",40,33,36,20,28,74
"Gene_1104",1,3,6,2,2,6
"Gene_1105",1,1,1,2,1,0
"Gene_1106",6,1,3,3,5,4
"Gene_1107",5,12,5,9,11,12
"Gene_1108",0,1,0,0,0,0
"Gene_1109",3,2,0,1,0,1
"Gene_1110",5,5,3,2,6,5
"Gene_1111",4,2,0,1,1,1
"Gene_1112",0,0,0,0,0,1
"Gene_1113",2,0,22,1,2,3
"Gene_1114",4,1,5,1,9,3
"Gene_1115",7,8,4,10,4,9
"Gene_1116",120,57,325,92,878,371
"Gene_1117",18,27,16,24,41,22
"Gene_1118",8,13,7,9,5,10
"Gene_1119",3,2,8,7,7,5
"Gene_1120",34,30,33,31,36,36
"Gene_1121",20,16,21,17,26,18
"Gene_1122",956,1127,2396,583,1641,634
"Gene_1123",0,0,1,1,0,1
"Gene_1124",1,0,1,0,0,1
"Gene_1125",4,1,0,0,1,2
"Gene_1126",0,2,2,0,1,0
"Gene_1127",1,2,1,2,2,2
"Gene_1128",13,26,13,19,18,18
"Gene_1129",189,264,108,231,283,307
"Gene_1130",0,0,4,1,0,0
"Gene_1131",5,5,4,3,8,6
"Gene_1132",5,2,2,1,4,1
"Gene_1133",3,0,1,1,3,3
"Gene_1134",12,10,10,9,13,9
"Gene_1135",2,4,11,2,6,6
"Gene_1136",2,0,0,0,0,0
"Gene_1137",0,4,2,0,0,0
"Gene_1138",67,71,41,35,58,62
"Gene_1139",5,25,4,10,21,9
"Gene_1140",77,54,69,39,122,87
"Gene_1141",3,2,9,0,3,2
"Gene_1142",5,3,20,8,6,9
"Gene_1143",11,4,5,17,5,6
"Gene_1144",525,458,349,626,627,543
"Gene_1145",18,7,8,12,15,17
"Gene_1146",5,6,5,1,4,10
"Gene_1147",1,2,3,1,1,0
"Gene_1148",4,10,7,3,10,4
"Gene_1149",48,62,81,102,74,70
"Gene_1150",0,0,1,0,0,1
"Gene_1151",29,18,27,18,12,41
"Gene_1152",304,203,201,158,415,358
"Gene_1153",68,71,61,69,76,90
"Gene_1154",1,11,10,2,9,5
"Gene_1155",3,9,15,4,11,10
"Gene_1156",3,15,34,10,6,3
"Gene_1157",86,61,45,58,107,94
"Gene_1158",0,1,0,0,1,1
"Gene_1159",3,3,4,2,6,3
"Gene_1160",8,7,9,2,4,2
"Gene_1161",9,6,11,11,14,11
"Gene_1162",109,112,103,115,103,108
"Gene_1163",1,1,3,1,1,2
"Gene_1164",816,700,581,578,975,767
"Gene_1165",0,2,7,1,2,4
"Gene_1166",4,2,5,3,6,10
"Gene_1167",193,273,171,133,388,293
"Gene_1168",20,17,11,18,10,10
"Gene_1169",186,291,163,128,254,199
"Gene_1170",21,33,13,6,18,16
"Gene_1171",108,82,98,49,102,108
"Gene_1172",48,39,25,56,66,54
"Gene_1173",19,162,83,61,200,25
"Gene_1174",12,10,8,6,15,17
"Gene_1175",105,112,96,45,109,106
"Gene_1176",49,41,43,61,35,28
"Gene_1177",16,21,21,9,21,16
"Gene_1178",392,398,500,190,839,361
"Gene_1179",30,34,30,52,45,35
"Gene_1180",17,6,6,2,12,3
"Gene_1181",3,0,0,0,3,1
"Gene_1182",234,205,359,174,291,263
"Gene_1183",132,84,100,90,104,111
"Gene_1184",90,53,102,106,87,65
"Gene_1185",117,148,129,175,183,144
"Gene_1186",253,238,207,279,343,191
"Gene_1187",27,42,40,25,33,37
"Gene_1188",72,64,91,83,74,71
"Gene_1189",2,0,1,0,1,1
"Gene_1190",59,73,65,89,94,74
"Gene_1191",190,345,328,197,152,293
"Gene_1192",86,86,39,51,88,74
"Gene_1193",0,1,1,0,0,2
"Gene_1194",6,6,12,10,9,18
"Gene_1195",10,9,7,5,5,3
"Gene_1196",114,109,111,91,111,124
"Gene_1197",130,264,480,527,122,147
"Gene_1198",245,203,289,193,300,248
"Gene_1199",751,702,684,427,1079,772
"Gene_1200",1549,1551,1181,1027,2463,1850
"Gene_1201",530,713,776,477,1060,710
"Gene_1202",2683,1578,1805,1555,4277,3002
"Gene_1203",0,1,4,0,0,0
"Gene_1204",198,241,139,227,161,175
"Gene_1205",22,18,23,4,22,13
"Gene_1206",848,967,746,751,1325,1209
"Gene_1207",10,3,6,0,1,4
"Gene_1208",120,107,95,102,144,119
"Gene_1209",118,146,110,119,166,245
"Gene_1210",224,188,246,226,259,208
"Gene_1211",1,0,6,1,0,3
"Gene_1212",45,43,55,35,40,57
"Gene_1213",8,12,8,7,14,9
"Gene_1214",1,5,3,1,5,4
"Gene_1215",2,0,4,7,2,3
"Gene_1216",6,12,6,6,9,10
"Gene_1217",130,93,136,96,112,125
"Gene_1218",18,7,15,17,36,29
"Gene_1219",11,2,9,6,4,10
"Gene_1220",490,379,271,320,552,362
"Gene_1221",385,331,457,467,467,581
"Gene_1222",91,65,104,51,145,86
"Gene_1223",116,125,119,104,140,135
"Gene_1224",141,113,105,62,166,122
"Gene_1225",18,17,5,16,12,8
"Gene_1226",110,103,91,84,143,142
"Gene_1227",13,4,20,9,17,12
"Gene_1228",57,56,82,65,100,70
"Gene_1229",114,72,4,20,74,60
"Gene_1230",265,242,252,202,241,218
"Gene_1231",5,4,5,0,4,0
"Gene_1232",249,192,222,247,253,275
"Gene_1233",1558,1539,1139,843,2644,2691
"Gene_1234",134,121,69,74,99,79
"Gene_1235",690,449,438,314,996,691
"Gene_1236",22,10,17,5,13,10
"Gene_1237",982,823,1567,1090,1232,924
"Gene_1238",18,23,20,6,16,21
"Gene_1239",6,6,8,9,9,12
"Gene_1240",29,22,26,13,28,27
"Gene_1241",36,64,79,38,54,92
"Gene_1242",219,183,150,168,267,216
"Gene_1243",110,105,104,93,102,127
"Gene_1244",187,181,116,139,150,147
"Gene_1245",119,84,75,113,133,112
"Gene_1246",675,508,880,617,789,833
"Gene_1247",72,70,75,64,130,78
"Gene_1248",4,7,15,6,4,6
"Gene_1249",120,99,333,265,113,159
"Gene_1250",44,56,56,57,72,85
"Gene_1251",168,121,145,153,189,226
"Gene_1252",38,19,125,38,8,14
"Gene_1253",399,362,337,321,489,490
"Gene_1254",4,7,8,15,10,12
"Gene_1255",25,31,55,21,15,34
"Gene_1256",8,15,8,12,9,6
"Gene_1257",13,10,8,10,14,14
"Gene_1258",2,7,9,8,0,3
"Gene_1259",4,0,1,0,4,4
"Gene_1260",408,338,151,154,558,340
"Gene_1261",4,2,1,0,3,2
"Gene_1262",9,14,36,8,12,9
"Gene_1263",0,2,0,0,0,0
"Gene_1264",0,0,2,0,1,0
"Gene_1265",0,0,3,0,4,0
"Gene_1266",308,249,211,221,251,261
"Gene_1267",10,7,10,8,15,13
"Gene_1268",146,154,226,140,185,224
"Gene_1269",13,14,24,17,30,12
"Gene_1270",120,162,76,109,188,170
"Gene_1271",323,313,340,286,599,487
"Gene_1272",5,2,16,3,5,2
"Gene_1273",2,4,0,1,3,5
"Gene_1274",0,0,0,0,1,0
"Gene_1275",5,2,19,4,0,0
"Gene_1276",12,14,2,6,14,17
"Gene_1277",32,37,66,34,46,52
"Gene_1278",21,23,20,10,27,23
"Gene_1279",4,3,3,3,16,2
"Gene_1280",0,1,1,0,1,0
"Gene_1281",1,0,0,0,1,0
"Gene_1282",1,0,10,2,1,2
"Gene_1283",44,23,14,8,26,52
"Gene_1284",6,4,8,8,8,12
"Gene_1285",35,43,45,44,78,78
"Gene_1286",1,1,0,1,0,0
"Gene_1287",6,5,7,11,3,6
"Gene_1288",60,66,22,35,58,13
"Gene_1289",3,0,7,4,1,0
"Gene_1290",3,27,8,19,15,9
"Gene_1291",78,87,157,117,57,87
"Gene_1292",3,0,0,3,3,1
"Gene_1293",1,0,2,1,0,0
"Gene_1294",1,1,0,1,1,0
"Gene_1295",7,3,5,1,8,8
"Gene_1296",2,0,0,0,0,0
"Gene_1297",1886,1540,1214,1189,2588,1873
"Gene_1298",1,0,1,0,1,0
"Gene_1299",263,328,689,165,293,390
"Gene_1300",6,9,13,18,21,6
"Gene_1301",18,11,17,10,10,28
"Gene_1302",6,2,0,3,3,1
"Gene_1303",11,15,15,28,12,16
"Gene_1304",0,1,3,0,1,0
"Gene_1305",251,218,199,179,329,247
"Gene_1306",3,0,4,2,0,3
"Gene_1307",28,53,55,44,71,39
"Gene_1308",5,6,19,4,3,4
"Gene_1309",67,66,75,56,83,93
"Gene_1310",67,17,6,3,5,21
"Gene_1311",1,5,6,20,11,4
"Gene_1312",29,24,12,17,33,5
"Gene_1313",167,210,236,148,202,223
"Gene_1314",1042,1222,1315,1242,1035,858
"Gene_1315",0,0,1,1,3,3
"Gene_1316",40,19,32,24,42,36
"Gene_1317",34,52,35,29,47,67
"Gene_1318",1,0,2,0,5,0
"Gene_1319",22,10,37,10,23,12
"Gene_1320",98,59,108,60,182,174
"Gene_1321",0,0,0,0,0,4
"Gene_1322",1224,1239,1244,1297,1446,1710
"Gene_1323",0,1,8,1,2,2
"Gene_1324",80,148,106,122,127,163
"Gene_1325",0,1,0,0,2,1
"Gene_1326",115,104,133,84,122,100
"Gene_1327",108,68,67,61,100,86
"Gene_1328",160,133,104,112,171,112
"Gene_1329",175,196,211,167,160,155
"Gene_1330",29,28,12,10,20,16
"Gene_1331",51,46,28,61,60,102
"Gene_1332",74,87,133,119,75,64
"Gene_1333",86,373,185,1043,388,292
"Gene_1334",228,267,312,221,337,322
"Gene_1335",8,8,10,2,16,12
"Gene_1336",0,0,1,0,0,2
"Gene_1337",135,127,175,131,164,146
"Gene_1338",106,96,158,60,130,79
"Gene_1339",119,153,171,233,131,121
"Gene_1340",117,150,61,82,244,115
"Gene_1341",2,4,9,2,4,7
"Gene_1342",15,4,5,1,14,6
"Gene_1343",36,22,25,15,26,29
"Gene_1344",147,127,85,79,129,109
"Gene_1345",48,59,64,42,37,45
"Gene_1346",214,302,315,150,228,295
"Gene_1347",6,1,1,1,1,1
"Gene_1348",26,34,78,58,30,27
"Gene_1349",1,1,1,0,4,2
"Gene_1350",2,0,0,1,1,0
"Gene_1351",123,122,83,69,115,54
"Gene_1352",2,1,0,0,1,2
"Gene_1353",2252,2023,1244,1425,2200,1830
"Gene_1354",8,5,9,2,1,10
"Gene_1355",5,2,3,0,0,3
"Gene_1356",7,10,6,8,12,5
"Gene_1357",7,7,4,5,6,3
"Gene_1358",12,7,5,31,10,5
"Gene_1359",2,3,6,4,2,3
"Gene_1360",0,0,1,2,1,0
"Gene_1361",5,2,22,1,3,1
"Gene_1362",0,0,0,0,0,1
"Gene_1363",8,17,52,3,17,11
"Gene_1364",396,452,198,152,300,141
"Gene_1365",18,22,59,20,21,18
"Gene_1366",2,1,4,1,3,2
"Gene_1367",22,31,14,26,28,15
"Gene_1368",2,0,1,2,1,1
"Gene_1369",5,2,1,6,6,8
"Gene_1370",2,1,5,0,2,1
"Gene_1371",7,9,12,10,8,10
"Gene_1372",11,8,4,10,14,8
"Gene_1373",12,19,16,7,20,26
"Gene_1374",0,0,1,0,0,0
"Gene_1375",0,0,1,0,1,1
"Gene_1376",66,61,42,52,72,48
"Gene_1377",0,0,0,0,1,2
"Gene_1378",1,0,0,1,0,0
"Gene_1379",94,91,126,113,95,113
"Gene_1380",38,58,26,28,46,27
"Gene_1381",4,7,1,8,2,3
"Gene_1382",25,19,22,37,46,31
"Gene_1383",1,2,3,7,3,5
"Gene_1384",2,6,3,5,2,3
"Gene_1385",20,14,19,23,29,22
"Gene_1386",4,2,2,7,1,3
"Gene_1387",3,1,3,6,1,2
"Gene_1388",2,1,3,2,2,1
"Gene_1389",0,1,0,0,0,0
"Gene_1390",0,2,2,7,2,2
"Gene_1391",37,71,54,42,69,60
"Gene_1392",7,4,5,2,6,9
"Gene_1393",14,16,43,34,20,18
"Gene_1394",2,1,1,0,1,4
"Gene_1395",15,15,15,25,24,14
"Gene_1396",1,1,0,0,1,0
"Gene_1397",8,4,9,5,2,9
"Gene_1398",153,148,209,334,189,157
"Gene_1399",30,23,23,26,28,19
"Gene_1400",0,0,1,0,0,0
"Gene_1401",58,43,33,21,57,45
"Gene_1402",29,27,10,14,10,22
"Gene_1403",162,85,1005,90,93,82
"Gene_1404",5,11,3,2,10,6
"Gene_1405",0,0,1,0,0,0
"Gene_1406",42,51,33,18,28,37
"Gene_1407",0,2,33,1,0,0
"Gene_1408",0,4,13,0,9,0
"Gene_1409",479,825,373,430,1025,534
"Gene_1410",96,44,61,67,136,101
"Gene_1411",30,29,50,44,40,30
"Gene_1412",4,2,10,5,13,6
"Gene_1413",66,45,53,34,82,68
"Gene_1414",123,111,78,86,94,105
"Gene_1415",157,162,130,106,197,143
"Gene_1416",25,21,30,26,36,35
"Gene_1417",51,46,66,34,51,45
"Gene_1418",74,41,52,50,76,82
"Gene_1419",8,8,7,6,8,9
"Gene_1420",219,257,196,266,263,343
"Gene_1421",469,507,200,400,439,424
"Gene_1422",147,151,132,144,230,178
"Gene_1423",0,6,8,3,1,3
"Gene_1424",61,69,53,50,83,54
"Gene_1425",16,16,32,5,26,26
"Gene_1426",11,8,16,19,25,13
"Gene_1427",3,2,26,10,7,5
"Gene_1428",355,529,640,818,329,983
"Gene_1429",1,1,1,1,0,0
"Gene_1430",49,61,47,76,85,49
"Gene_1431",8,9,9,7,7,7
"Gene_1432",245,181,185,159,302,221
"Gene_1433",22,15,18,8,41,20
"Gene_1434",27,17,22,11,28,23
"Gene_1435",381,545,443,573,558,518
"Gene_1436",26,42,34,81,25,47
